LOTE,Orden en el encadenado,LOTE parental,ID Bioreactor,Fecha/hora inicio,Fecha/hora fin,Volumen de inóculo utilizado,Turbidez inicio cultivo,Turbidez fin cultivo,Viabilidad inicial cultivo,Viabilidad final cultivo,ID Centrífuga,Centrifugación 1 turbidez,Centrifugación 2 turbidez,Producto 1,Producto 2,Temperatura almacén principal (inicio),Humedad almacén principal (inicio),Temperatura almacén producción (inicio),Humedad almacén producción (inicio),Temperatura almacén principal (fin),Humedad almacén principal (fin),Temperatura almacén producción (fin),Humedad almacén producción (fin)
23036,1,0,13170,2023-05-22 07:30:00,2023-05-24 09:35:00,82.0,16.4,65.92,4850000.0,142000000.0,14246,26.5,12.9,1403.4,4.2,21.40480042,35.57219315,20.294487,53.30945969,21.66159821,45.63257621,20.42650414,53.13946533
23038,1,0,14615,2023-05-23 08:00:00,2023-05-25 10:45:00,83.6,15.28,67.92,7730000.0,145000000.0,14246,23.6,13.5,1674.6,4.4,20.61270142,46.30815887,19.97326547,49.49363327,21.39033302,47.5234375,20.49884224,53.41073227
23039,1,0,14616,2023-05-23 08:00:00,2023-05-25 10:15:00,80.4,17.84,67.2,7820000.0,123000000.0,17825,28.8,13.7,1487.4,3.6,20.61270142,46.30815887,19.97326547,49.49363327,21.15366802,47.72124762,20.33246422,53.26967621
23040,1,0,13169,2023-05-30 12:00:00,2023-06-01 12:00:00,77.6,13.92,32.32,4300000.0,155000000.0,14246,27.4,23.4,2129.9,8.2,21.14480647,45.66796875,20.08651543,53.14308548,22.17881775,45.11458206,20.4283123,51.79397964
23041,1,0,14616,2023-05-30 07:20:00,2023-06-01 07:20:00,82.8,15.6,76.8,6850000.0,260000000.0,17825,23.2,20.5,1873.7,7.3,20.83545511,46.84707642,20.2890625,52.87905121,20.87311554,47.60300827,20.49884224,51.79397964
23042,1,0,14614,2023-05-31 06:55:00,2023-06-02 09:20:00,79.2,15.28,68.96,5860000.0,210000000.0,17825,24.6,18.2,1609.8,6.4,20.61993408,46.59751129,20.42650414,53.94965363,20.98886108,46.85430908,20.15885353,54.63324738
23044,1,0,14616,2023-06-06 09:20:00,2023-06-08 13:50:00,81.2,14.88,56.48,2780000.0,130000000.0,17825,22.7,11.5,1240.7,5.0,20.42838913,48.44212723,20.15885353,51.92419052,20.61270142,47.24493408,20.294487,54.82158361
23043,1,0,14615,2023-06-12 08:00:00,2023-06-14 10:30:00,84.0,16.24,64.96,4330000.0,188000000.0,14246,27.4,18.3,1427.9,4.5,21.54224396,49.15692378,20.29267883,51.92419052,20.75376129,49.34635162,20.08651543,48.54238892
23045,1,0,13170,2023-06-12 08:00:00,2023-06-14 08:30:00,81.6,16.72,72.8,4750000.0,174000000.0,17825,28.2,15.6,1613.8,6.0,21.54224396,49.15692378,20.29267883,51.92419052,21.29267883,48.97064012,20.22395706,51.2442131
23046,1,0,14614,2023-06-13 08:00:00,2023-06-15 09:15:00,82.8,14.08,69.68,4390000.0,165000000.0,14246,23.1,14.7,2061.0,8.7,21.17466579,48.7676506,20.15885353,52.73799133,20.81356297,47.20549028,20.22395706,52.60416412
23047,1,0,14616,2023-06-13 08:00:00,2023-06-15 08:15:00,83.2,18.72,72.08,4310000.0,162000000.0,17825,28.2,19.1,1697.6,6.9,21.17466579,48.7676506,20.15885353,52.73799133,21.00694275,48.10214233,20.49341774,51.64930344
23048,1,0,14615,2023-06-20 07:15:00,2023-06-22 08:45:00,81.6,16.0,67.04,5750000.0,166000000.0,14246,22.5,19.9,1393.1,5.6,21.6796875,49.93590927,20.15885353,49.63830948,19.82421875,53.68663025,20.0214119,49.8332293
23049,1,0,14616,2023-06-20 07:15:00,2023-06-22 08:45:00,82.4,14.96,68.8,6400000.0,163000000.0,17825,21.2,25.2,1766.5,7.5,21.6796875,49.93590927,20.15885353,49.63830948,19.82421875,53.68663025,20.0214119,49.8332293
23050,1,0,14614,2023-06-21 08:00:00,2023-06-23 08:00:00,83.2,16.16,74.56,3740000.0,191000000.0,17825,24.3,21.3,1755.1,6.8,19.70485687,53.83130646,20.29629517,48.89979097,19.43721008,52.76070404,20.15885353,49.229599
23051,1,0,13170,2023-06-21 08:00:00,2023-06-23 10:30:00,80.0,14.8,53.28,3550000.0,266000000.0,14246,22.4,13.5,1225.8,5.7,19.70485687,53.83130646,20.29629517,48.89979097,20.22207642,53.16218185,20.08651543,52.19907379
23053,1,0,14616,2023-06-26 08:00:00,2023-06-28 07:30:00,0.0,16.64,72.64,4540000.0,168000000.0,17825,25.0,14.6,1681.4,6.5,19.97251129,51.53819275,20.22395706,51.93142319,19.89725744,51.94690323,20.2275753,53.13946533
23054,1,0,13170,2023-06-27 08:15:00,2023-06-29 08:15:00,0.0,17.04,65.28,3990000.0,193000000.0,14246,24.2,29.0,1683.1,7.8,19.93995667,51.00289154,20.3614006,49.63830948,20.22569275,52.48582077,20.49703407,53.00925827
23055,1,0,14615,2023-06-27 08:15:00,2023-06-29 08:15:00,0.0,17.12,81.6,3950000.0,169000000.0,17825,26.7,23.8,1563.0,8.1,19.93995667,51.00289154,20.3614006,49.63830948,20.22569275,52.48582077,20.49703407,53.00925827
23056,1,0,13170,2023-07-03 08:35:00,2023-07-05 08:30:00,84.0,18.72,89.6,7310000.0,91200000.0,14246,29.5,22.3,1699.7,6.9,20.08824921,54.37746048,20.36320877,49.68705628,19.46614838,54.50043488,20.42650414,49.15795115
23057,1,0,14614,2023-07-03 08:35:00,2023-07-05 09:15:00,84.0,18.64,73.04,7590000.0,142000000.0,17825,27.1,21.3,1786.2,5.9,20.08824921,54.37746048,20.36320877,49.68705628,19.44444275,54.90190887,20.19683075,51.1175535
23060,1,0,14615,2023-07-04 07:30:00,2023-07-06 08:30:00,82.4,15.04,74.32,4670000.0,167000000.0,14246,24.4,20.2,1688.2,7.1,19.3369178,53.66546938,20.22395706,53.28052521,19.07387702,54.25280732,20.09194183,49.23321533
23061,1,0,14616,2023-07-04 07:30:00,2023-07-06 08:30:00,82.0,17.84,75.52,5090000.0,158000000.0,17825,25.7,21.2,1967.8,7.3,19.3369178,53.66546938,20.22395706,53.28052521,19.07387702,54.25280732,20.09194183,49.23321533
23063,1,0,14615,2023-07-10 07:35:00,2023-07-12 11:35:00,83.2,17.6,66.24,4860000.0,153000000.0,14246,25.4,15.8,1790.2,5.9,19.85151679,57.58564758,20.0214119,49.36342621,22.59114838,59.47265625,20.3614006,50.95718545
23064,1,0,13170,2023-07-11 07:50:00,2023-07-13 07:55:00,80.8,16.48,81.6,5510000.0,183000000.0,14246,27.0,26.5,1821.8,7.4,20.22207642,57.31799698,20.15885353,47.74305344,19.81698608,57.33868408,20.49703407,51.42082977
23065,1,0,14616,2023-07-11 07:50:00,2023-07-13 09:25:00,81.2,18.88,75.04,4740000.0,161000000.0,17825,27.2,20.2,1977.5,6.6,20.22207642,57.31799698,20.15885353,47.74305344,19.95080566,56.67317581,20.49884224,52.83558816
23067,1,0,14615,2023-07-17 07:30:00,2023-07-19 09:45:00,84.0,18.08,60.56,6870000.0,155000000.0,14246,24.0,16.1,1793.1,5.8,19.70485687,52.11588287,20.29629517,48.95833206,21.79588183,54.11964798,20.49884224,46.96228786
23068,1,0,13170,2023-07-18 08:05:00,2023-07-20 07:55:00,82.0,16.4,75.68,7180000.0,142000000.0,14246,24.2,19.5,1743.3,7.0,19.82783508,51.4245899,20.3614006,48.27835464,20.48249054,51.31655121,20.29629517,47.20775223
23069,1,0,14616,2023-07-18 07:30:00,2023-07-20 08:00:00,82.0,17.04,64.8,6830000.0,128000000.0,17825,23.3,17.4,1548.9,5.6,19.7157135,50.90060806,20.15885353,47.90219879,20.48249054,51.31655121,20.29629517,47.20775223
23070,1,0,14615,2023-07-24 08:40:00,2023-07-26 08:40:00,80.0,17.52,63.68,6090000.0,110000000.0,14246,26.6,15.4,1853.3,5.4,19.53194026,54.72612603,20.09013367,50.38859801,19.58911896,51.182724,20.09013367,50.62654622
23071,1,0,13170,2023-07-25 07:00:00,2023-07-27 07:50:00,82.0,18.0,77.36,5530000.0,111000000.0,14246,28.6,27.0,2162.5,7.6,19.77155642,50.62934113,20.29629517,49.65526804,19.47678766,53.06118604,20.18959808,48.62369575
23072,1,0,14616,2023-07-25 07:00:00,2023-07-27 08:00:00,80.8,16.64,69.68,5370000.0,80300000.0,17825,23.9,22.3,1833.0,6.1,19.77155642,50.62934113,20.29629517,49.65526804,19.47678766,53.06118604,20.18959808,48.62369575
23073,1,0,13169,2023-07-31 09:15:00,2023-08-02 10:00:00,82.4,17.76,73.84,6860000.0,77200000.0,14246,28.6,25.8,1756.6,6.6,19.81698608,50.92954254,20.44277954,48.40856552,20.47382643,54.00881439,20.29629517,51.78905476
23075,1,0,14616,2023-07-31 09:15:00,2023-08-02 10:15:00,82.8,17.84,75.36,6990000.0,105000000.0,17825,30.2,20.0,1985.4,6.5,19.81698608,50.92954254,20.44277954,48.40856552,20.47382643,54.00881439,20.29629517,51.78905476
23076,1,0,13170,2023-08-01 07:00:00,2023-08-03 07:25:00,84.2,17.92,77.36,5780000.0,140000000.0,17825,30.8,26.3,1670.5,8.1,20.08824921,54.81704899,20.42650414,51.15445154,20.03038025,50.63295746,20.0214119,49.58646968
23077,1,0,13170,2023-09-04 12:00:00,2023-09-06 12:00:00,78.4,26.24,70.56,4510000.0,165000000.0,14246,29.8,20.2,2151.5,9.1,20.13295235,48.14247193,20.42650414,48.27835464,21.64511432,46.86053085,20.30674636,47.69214479
23078,1,0,14614,2023-09-04 08:00:00,2023-09-06 09:30:00,80.0,18.0,76.4,6680000.0,166000000.0,17825,31.9,20.6,1470.5,5.2,20.48610687,49.27300262,20.2890625,50.5859375,19.03573608,47.55136108,20.294487,54.69684961
23079,1,0,14615,2023-09-05 08:30:00,2023-09-07 09:00:00,82.0,18.64,81.6,5280000.0,133000000.0,14246,31.9,22.9,2045.9,7.1,18.48596191,48.74131775,20.15885353,48.69068146,18.83127545,46.46267319,20.42650414,51.0387713
23080,1,0,14616,2023-09-05 08:30:00,2023-09-07 08:30:00,80.8,18.8,82.4,5330000.0,126000000.0,17825,31.4,22.7,1758.2,7.8,18.48596191,48.74131775,20.15885353,48.69068146,19.03573608,46.34331512,20.22395706,48.27835464
23081,1,0,14615,2023-09-13 07:15:00,2023-09-15 10:00:00,82.8,18.24,50.8,5410000.0,99200000.0,17825,28.2,15.4,1262.9,3.4,19.24931303,53.58072662,20.56394577,48.00360234,19.05381775,51.07359269,20.42650414,49.27542225
23082,1,0,14616,2023-09-13 07:15:00,2023-09-15 13:00:00,82.0,16.32,74.24,3590000.0,95500000.0,14246,29.4,23.0,1821.0,6.2,19.24931303,53.58072662,20.56394577,48.00360234,20.75376129,50.08680344,20.49884224,48.15176392
23083,1,0,14617,2023-09-12 08:00:00,2023-09-14 08:25:00,82.8,16.96,53.84,7300000.0,103000000.0,17825,137.6,157.0,1640.6,5.5,20.37036896,51.03081512,20.42650414,48.00708771,20.1063385,54.80783224,20.3614006,48.41579819
23084,1,0,13169,2023-09-12 08:00:00,2023-09-14 10:00:00,81.6,17.44,79.44,5870000.0,115000000.0,14246,151.2,151.4,2133.0,7.8,20.37036896,51.03081512,20.42650414,48.00708771,19.03573608,54.92983246,20.08651543,51.03765851
23085,1,0,13170,2023-09-25 08:15:00,2023-09-27 09:45:00,84.0,16.32,63.76,5660000.0,132000000.0,14246,26.6,17.5,1662.9,4.5,20.56971834,48.47366714,20.07024002,49.59062817,20.4969635,48.22410202,20.42650414,47.45564516
23086,1,0,14614,2023-09-25 08:15:00,2023-09-27 10:20:00,83.2,16.16,67.2,5310000.0,123000000.0,17825,32.2,21.9,1533.0,4.2,20.56971834,48.47366714,20.07024002,49.59062817,20.4969635,48.22410202,20.42650414,47.45564516
23087,1,0,14617,2023-09-26 09:30:00,2023-09-28 10:30:00,81.2,18.32,73.28,6350000.0,154000000.0,14246,36.6,43.9,1096.6,4.6,20.61993408,48.3145256,20.15162086,49.76490021,21.01055908,48.48090363,20.29267883,48.27835464
23088,1,0,14616,2023-09-26 09:30:00,2023-09-28 11:15:00,80.8,18.96,76.96,5310000.0,86400000.0,17825,32.3,21.8,2150.6,6.1,20.61993408,48.3145256,20.15162086,49.76490021,20.49334717,48.34707642,20.42650414,49.76490021
23089,1,0,13169,2023-10-02 08:30:00,2023-10-04 08:30:00,82.4,18.32,64.08,3790000.0,62600000.0,17825,30.2,17.4,1710.4,5.4,20.85503387,48.61834335,20.22395706,50.04340363,21.12630463,50.75231552,20.47714043,48.27835464
23090,1,0,14614,2023-10-02 08:30:00,2023-10-04 10:00:00,81.6,17.68,63.44,3550000.0,122000000.0,12912,27.3,13.7,1265.0,5.4,20.85503387,48.61834335,20.22395706,50.04340363,19.57103729,51.0489006,20.22395706,47.61284637
23091,1,0,14615,2023-10-03 08:30:00,2023-10-05 09:30:00,82.0,14.56,65.12,4890000.0,126000000.0,14246,25.0,26.5,1491.5,5.5,21.00332642,50.03313674,20.3614006,50.64291375,21.02140808,50.36892319,19.95630836,49.10300827
23092,1,0,14616,2023-10-03 08:30:00,2023-10-05 10:45:00,82.0,18.56,75.12,4400000.0,148000000.0,17825,32.1,27.4,1439.8,8.2,21.00332642,50.03313674,20.3614006,50.64291375,20.35228729,50.03703359,20.0456181,48.73328396
23093,2,23085,13170,2023-09-27 13:00:00,2023-09-29 13:00:00,80.0,21.84,74.32,5890000.0,109000000.0,14246,30.1,18.4,1792.1,6.4,21.11432788,50.08370147,20.42650414,48.01432037,21.15161896,51.4395256,20.52892833,47.27890719
23094,1,0,14614,2023-10-09 13:15:00,2023-10-11 13:00:00,81.2,18.08,46.4,3190000.0,88800000.0,17825,21.2,10.2,1373.3,4.8,20.96781021,48.71238327,20.0214119,47.54557574,20.77545929,49.01620483,20.15885353,50.8535881
23095,1,0,13169,2023-10-09 13:15:00,2023-10-11 13:00:00,81.2,13.36,50.24,3250000.0,119000000.0,12912,22.1,10.5,988.1,5.4,20.96781021,48.71238327,20.0214119,47.54557574,20.77545929,49.01620483,20.15885353,50.8535881
23096,1,0,14617,2023-10-17 09:00:00,2023-10-19 11:30:00,80.8,15.12,64.64,5460000.0,117000000.0,14246,25.8,18.7,1446.7,5.8,21.14800262,48.20963669,19.81886482,48.99450302,20.3501515,48.74855423,20.49884224,49.0957756
23097,1,0,14616,2023-10-17 09:00:00,2023-10-19 09:30:00,81.6,18.72,70.48,4620000.0,138000000.0,12912,28.7,20.7,1831.8,5.8,21.14800262,48.20963669,19.81886482,48.99450302,21.08985747,48.75217056,20.08832359,50.85720444
23098,1,0,14615,2023-10-17 09:00:00,2023-10-19 09:30:00,80.8,16.56,83.2,5160000.0,114000000.0,17825,30.2,15.6,1470.2,7.4,21.14800262,48.20963669,19.81886482,48.99450302,21.08985747,48.75217056,20.08832359,50.85720444
23099,1,0,13169,2023-10-23 10:00:00,2023-10-25 09:00:00,82.4,21.76,78.8,4410000.0,219000000.0,12912,33.6,22.3,1310.3,5.9,21.53501129,44.44444275,20.0214119,50.17722702,21.14800262,42.64150334,19.95269012,49.98966483
23100,1,0,14614,2023-10-23 10:00:00,2023-10-25 10:00:00,82.0,22.0,70.32,3890000.0,173000000.0,17825,33.6,18.1,1268.1,5.0,21.53501129,44.44444275,20.0214119,50.17722702,21.21618928,42.57450867,20.05215454,49.64192581
23101,1,0,14615,2023-10-24 07:00:00,2023-10-26 08:30:00,80.4,17.84,71.36,4770000.0,205000000.0,14246,28.1,19.9,1332.3,7.4,21.70203398,44.17317581,19.81705666,50.72337723,21.52656155,43.64511108,20.08651543,51.66377258
23102,1,0,14616,2023-10-24 07:00:00,2023-10-26 08:00:00,81.2,19.36,79.36,5150000.0,200000000.0,17825,31.5,19.4,1236.7,6.2,21.70203398,44.17317581,19.81705666,50.72337723,21.52656155,43.64511108,20.08651543,51.66377258
23103,1,0,14616,2023-10-31 10:00:00,2023-11-02 09:45:00,80.4,17.04,81.6,3890000.0,179000000.0,14246,30.6,27.1,1669.0,6.2,20.50057983,44.15025655,20.42650414,47.61284637,21.04693862,47.00520706,19.74652672,50.4629631
23104,1,0,14615,2023-10-31 09:15:00,2023-11-02 09:45:00,80.0,16.4,84.8,6080000.0,147000000.0,12912,29.5,23.7,2113.0,7.0,21.54559817,42.97598267,19.82248306,48.69791412,21.04693862,47.00520706,19.74652672,50.4629631
23105,1,0,14614,2023-10-31 10:00:00,2023-11-02 10:00:00,82.4,14.88,87.2,3580000.0,184000000.0,17825,31.4,27.8,1855.4,8.6,20.50057983,44.15025655,20.42650414,47.61284637,21.04693862,47.00520706,19.74652672,50.4629631
23106,2,23099,13169,2023-10-25 12:30:00,2023-10-27 09:30:00,0.0,20.8,71.84,816000.0,213000000.0,14246,27.8,25.5,1351.6,6.7,21.57416971,42.38663327,20.22395706,48.828125,21.13715363,42.58174133,20.08651543,49.91319275
23107,2,23100,14614,2023-10-25 13:30:00,2023-10-27 11:30:00,0.0,23.2,75.36,8390000.0,169000000.0,17825,30.8,22.2,1965.9,7.8,21.94733429,42.42983246,20.49884224,48.68331886,20.88034821,42.15132904,19.61451149,51.27314758
23108,1,0,13170,2023-11-06 09:00:00,2023-11-08 09:20:00,83.2,19.44,75.52,6010000.0,222000000.0,12912,32.0,20.6,1784.7,5.3,19.81336975,43.11704254,20.2890625,41.88698687,21.352602,40.29586029,19.99247742,40.32117844
23109,1,0,14616,2023-11-06 09:00:00,2023-11-08 08:20:00,83.2,18.48,71.68,6610000.0,196000000.0,14246,33.4,27.8,969.9,3.8,19.81336975,43.11704254,20.2890625,41.88698687,21.14438629,40.10977632,19.99247742,40.86371613
23110,1,0,14614,2023-11-07 11:30:00,2023-11-09 10:00:00,81.6,17.68,84.0,6040000.0,177000000.0,17825,30.3,22.4,1957.1,6.7,20.61993408,42.63961029,19.89301109,47.48263931,20.22569275,44.06105042,19.81705666,43.4317131
23111,1,0,14615,2023-11-07 11:30:00,2023-11-09 09:30:00,81.6,17.6,79.36,5620000.0,172000000.0,12912,27.2,24.1,1924.0,6.6,20.61993408,42.63961029,19.89301109,47.48263931,19.95080566,43.79340363,20.35416603,41.89584019
23112,1,0,14615,2023-11-13 08:50:00,2023-11-15 08:25:00,81.6,18.0,76.16,5890000.0,184000000.0,17825,30.5,16.2,1707.6,5.3,22.34519196,42.16218185,19.94907379,51.93865585,22.47848914,44.27445221,20.42650414,47.74305344
23113,1,0,14616,2023-11-13 08:50:00,2023-11-15 09:20:00,81.6,17.6,83.2,5920000.0,243000000.0,12912,28.3,19.0,1704.3,6.4,22.34519196,42.16218185,19.94907379,51.93865585,21.86347237,43.91275787,19.88397026,51.53356552
23114,1,0,14614,2023-11-14 07:00:00,2023-11-16 07:55:00,81.6,15.28,77.84,6700000.0,214000000.0,12912,26.7,49.3,1325.3,4.9,21.81351471,45.76461029,20.44639778,51.12847137,22.45370483,44.58188629,20.22395706,51.93865585
23115,2,23108,13170,2023-11-08 13:00:00,2023-11-10 10:00:00,80.0,20.56,78.56,17800000.0,186000000.0,12912,29.6,24.2,1655.4,8.0,20.79506578,41.11328125,20.49160767,42.34664154,21.73526099,43.88744354,20.22395706,45.3125
23116,2,23109,14616,2023-11-08 12:00:00,2023-11-10 09:00:00,80.0,20.16,79.44,1150000.0,229000000.0,17825,29.7,24.3,1673.5,7.8,20.9531434,41.49667358,20.42650414,41.39539719,21.41564941,44.18764496,20.35959244,45.17505646
23117,1,0,13169,2023-11-14 07:00:00,2023-11-16 07:50:00,82.0,17.12,88.8,5710000.0,202000000.0,14246,32.8,27.8,1935.3,8.7,21.81351471,45.76461029,20.44639778,51.12847137,22.45370483,44.58188629,20.22395706,51.93865585
23118,1,0,13169,2023-11-20 08:20:00,2023-11-22 08:40:00,83.2,16.64,75.92,6500000.0,247000000.0,14246,29.8,52.6,1198.2,4.8,22.98900604,38.60315323,20.0214119,45.99247742,19.74552004,39.63035202,20.15885353,45.18228912
23119,1,0,13170,2023-11-20 08:20:00,2023-11-22 08:00:00,82.4,19.52,74.48,6600000.0,185000000.0,12912,32.2,16.9,2059.8,5.3,22.98900604,38.60315323,20.0214119,45.99247742,19.6706298,40.16926956,20.0214119,46.34535298
23120,1,0,14614,2023-11-21 07:40:00,2023-11-23 08:20:00,80.0,19.36,85.6,5650000.0,168000000.0,17825,32.5,21.4,2338.6,5.4,22.12214747,42.60545592,20.15704536,51.25867844,21.41564941,33.31524658,20.42650414,37.61574173
23121,1,0,14615,2023-11-21 07:40:00,2023-11-23 08:15:00,80.0,12.56,83.2,8270000.0,224000000.0,14246,27.7,44.2,1673.0,7.5,22.12214747,42.60545592,20.15704536,51.25867844,21.41564941,33.31524658,20.42650414,37.61574173
23122,2,23112,14615,2023-11-15 12:15:00,2023-11-17 09:25:00,80.0,19.44,82.4,9120000.0,206000000.0,17825,30.8,23.8,1978.2,8.5,22.23307037,45.23654556,20.40661049,50.98379517,20.93582125,42.96513367,20.08651543,51.30208206
23123,2,23113,14616,2023-11-15 12:55:00,2023-11-17 09:15:00,80.0,17.44,82.4,10100000.0,192000000.0,12912,26.0,22.7,2117.8,8.4,22.09830461,43.48958206,20.5458622,50.38353389,20.93582125,42.96513367,20.08651543,51.30208206
23124,1,0,14615,2023-11-27 07:30:00,2023-11-29 08:41:00,83.2,17.6,74.48,5510000.0,201000000.0,14246,28.6,29.5,1517.9,4.5,22.02329254,40.28862762,19.74652672,41.68113327,22.69965363,41.34838104,20.08651543,46.67245102
23125,1,0,14616,2023-11-27 07:30:00,2023-11-29 08:45:00,84.0,19.52,77.44,5200000.0,176000000.0,17825,32.1,20.3,1688.1,4.8,22.02329254,40.28862762,19.74652672,41.68113327,22.69965363,41.34838104,20.08651543,46.67245102
23126,1,0,13170,2023-11-28 07:00:00,2023-11-30 07:50:00,80.8,15.28,79.92,8060000.0,168000000.0,17825,32.2,34.4,2395.4,7.6,22.0703125,39.76055908,19.60908508,41.68113327,22.35056839,43.33827234,20.49160767,48.69791412
23127,1,0,14614,2023-11-28 07:00:00,2023-11-30 07:55:00,80.4,14.48,77.44,9390000.0,253000000.0,12912,29.0,30.0,2155.8,7.0,22.0703125,39.76055908,19.60908508,41.68113327,22.35056839,43.33827234,20.49160767,48.69791412
23129,2,23119,13170,2023-11-22 11:45:00,2023-11-24 08:30:00,80.0,30.32,75.52,64800000.0,179000000.0,12912,30.9,20.7,1903.0,6.2,20.31333636,38.292099,20.45106511,42.59259033,22.00959535,33.86501694,20.02397057,35.91561053
23130,2,23118,13169,2023-11-22 13:00:00,2023-11-24 08:45:00,80.0,30.32,75.04,64800000.0,170000000.0,14246,31.3,38.6,1116.6,5.2,21.11080444,37.85445404,20.2890625,42.47685242,22.31987762,33.82523346,19.68142319,36.53790283
23131,1,0,13169,2023-12-04 07:00:00,2023-12-06 07:40:00,83.2,18.16,76.72,7970000.0,189000000.0,17825,32.6,17.5,1778.2,6.9,22.54405707,38.14380646,19.68142319,38.42592621,22.15386446,39.21440887,19.88397026,39.9160881
