LOTE,Orden en el encadenado,LOTE parental,ID Bioreactor,Fecha/hora inicio,Fecha/hora fin,Volumen de inóculo utilizado,Turbidez inicio cultivo,Turbidez fin cultivo,Viabilidad inicial cultivo,Viabilidad final cultivo,ID Centrífuga,Centrifugación 1 turbidez,Centrifugación 2 turbidez,Producto 1,Producto 2
23036,1,0,13170,2023-05-22 07:30:00,2023-05-24 09:35:00,82.0,16.4,65.92,4850000.0,142000000.0,14246,26.5,12.9,1403.4,4.2
23038,1,0,14615,2023-05-23 08:00:00,2023-05-25 10:45:00,83.6,15.28,67.92,7730000.0,145000000.0,14246,23.6,13.5,1674.6,4.4
23039,1,0,14616,2023-05-23 08:00:00,2023-05-25 10:15:00,80.4,17.84,67.2,7820000.0,123000000.0,17825,28.8,13.7,1487.4,3.6
23040,1,0,13169,2023-05-30 12:00:00,2023-06-01 12:00:00,77.6,13.92,32.32,4300000.0,155000000.0,14246,27.4,23.4,2129.9,8.2
23041,1,0,14616,2023-05-30 07:20:00,2023-06-01 07:20:00,82.8,15.6,76.8,6850000.0,260000000.0,17825,23.2,20.5,1873.7,7.3
23042,1,0,14614,2023-05-31 06:55:00,2023-06-02 09:20:00,79.2,15.28,68.96,5860000.0,210000000.0,17825,24.6,18.2,1609.8,6.4
23044,1,0,14616,2023-06-06 09:20:00,2023-06-08 13:50:00,81.2,14.88,56.48,2780000.0,130000000.0,17825,22.7,11.5,1240.7,5.0
23043,1,0,14615,2023-06-12 08:00:00,2023-06-14 10:30:00,84.0,16.24,64.96,4330000.0,188000000.0,14246,27.4,18.3,1427.9,4.5
23045,1,0,13170,2023-06-12 08:00:00,2023-06-14 08:30:00,81.6,16.72,72.8,4750000.0,174000000.0,17825,28.2,15.6,1613.8,6.0
23046,1,0,14614,2023-06-13 08:00:00,2023-06-15 09:15:00,82.8,14.08,69.68,4390000.0,165000000.0,14246,23.1,14.7,2061.0,8.7
23047,1,0,14616,2023-06-13 08:00:00,2023-06-15 08:15:00,83.2,18.72,72.08,4310000.0,162000000.0,17825,28.2,19.1,1697.6,6.9
23048,1,0,14615,2023-06-20 07:15:00,2023-06-22 08:45:00,81.6,16.0,67.04,5750000.0,166000000.0,14246,22.5,19.9,1393.1,5.6
23049,1,0,14616,2023-06-20 07:15:00,2023-06-22 08:45:00,82.4,14.96,68.8,6400000.0,163000000.0,17825,21.2,25.2,1766.5,7.5
23050,1,0,14614,2023-06-21 08:00:00,2023-06-23 08:00:00,83.2,16.16,74.56,3740000.0,191000000.0,17825,24.3,21.3,1755.1,6.8
23051,1,0,13170,2023-06-21 08:00:00,2023-06-23 10:30:00,80.0,14.8,53.28,3550000.0,266000000.0,14246,22.4,13.5,1225.8,5.7
23053,1,0,14616,2023-06-26 08:00:00,2023-06-28 07:30:00,0.0,16.64,72.64,4540000.0,168000000.0,17825,25.0,14.6,1681.4,6.5
23054,1,0,13170,2023-06-27 08:15:00,2023-06-29 08:15:00,0.0,17.04,65.28,3990000.0,193000000.0,14246,24.2,29.0,1683.1,7.8
23055,1,0,14615,2023-06-27 08:15:00,2023-06-29 08:15:00,0.0,17.12,81.6,3950000.0,169000000.0,17825,26.7,23.8,1563.0,8.1
23056,1,0,13170,2023-07-03 08:35:00,2023-07-05 08:30:00,84.0,18.72,89.6,7310000.0,91200000.0,14246,29.5,22.3,1699.7,6.9
23057,1,0,14614,2023-07-03 08:35:00,2023-07-05 09:15:00,84.0,18.64,73.04,7590000.0,142000000.0,17825,27.1,21.3,1786.2,5.9
23060,1,0,14615,2023-07-04 07:30:00,2023-07-06 08:30:00,82.4,15.04,74.32,4670000.0,167000000.0,14246,24.4,20.2,1688.2,7.1
23061,1,0,14616,2023-07-04 07:30:00,2023-07-06 08:30:00,82.0,17.84,75.52,5090000.0,158000000.0,17825,25.7,21.2,1967.8,7.3
23063,1,0,14615,2023-07-10 07:35:00,2023-07-12 11:35:00,83.2,17.6,66.24,4860000.0,153000000.0,14246,25.4,15.8,1790.2,5.9
23064,1,0,13170,2023-07-11 07:50:00,2023-07-13 07:55:00,80.8,16.48,81.6,5510000.0,183000000.0,14246,27.0,26.5,1821.8,7.4
23065,1,0,14616,2023-07-11 07:50:00,2023-07-13 09:25:00,81.2,18.88,75.04,4740000.0,161000000.0,17825,27.2,20.2,1977.5,6.6
23067,1,0,14615,2023-07-17 07:30:00,2023-07-19 09:45:00,84.0,18.08,60.56,6870000.0,155000000.0,14246,24.0,16.1,1793.1,5.8
23068,1,0,13170,2023-07-18 08:05:00,2023-07-20 07:55:00,82.0,16.4,75.68,7180000.0,142000000.0,14246,24.2,19.5,1743.3,7.0
23069,1,0,14616,2023-07-18 07:30:00,2023-07-20 08:00:00,82.0,17.04,64.8,6830000.0,128000000.0,17825,23.3,17.4,1548.9,5.6
23070,1,0,14615,2023-07-24 08:40:00,2023-07-26 08:40:00,80.0,17.52,63.68,6090000.0,110000000.0,14246,26.6,15.4,1853.3,5.4
23071,1,0,13170,2023-07-25 07:00:00,2023-07-27 07:50:00,82.0,18.0,77.36,5530000.0,111000000.0,14246,28.6,27.0,2162.5,7.6
23072,1,0,14616,2023-07-25 07:00:00,2023-07-27 08:00:00,80.8,16.64,69.68,5370000.0,80300000.0,17825,23.9,22.3,1833.0,6.1
23073,1,0,13169,2023-07-31 09:15:00,2023-08-02 10:00:00,82.4,17.76,73.84,6860000.0,77200000.0,14246,28.6,25.8,1756.6,6.6
23075,1,0,14616,2023-07-31 09:15:00,2023-08-02 10:15:00,82.8,17.84,75.36,6990000.0,105000000.0,17825,30.2,20.0,1985.4,6.5
23076,1,0,13170,2023-08-01 07:00:00,2023-08-03 07:25:00,84.2,17.92,77.36,5780000.0,140000000.0,17825,30.8,26.3,1670.5,8.1
23077,1,0,13170,2023-09-04 12:00:00,2023-09-06 12:00:00,78.4,26.24,70.56,4510000.0,165000000.0,14246,29.8,20.2,2151.5,9.1
23078,1,0,14614,2023-09-04 08:00:00,2023-09-06 09:30:00,80.0,18.0,76.4,6680000.0,166000000.0,17825,31.9,20.6,1470.5,5.2
23079,1,0,14615,2023-09-05 08:30:00,2023-09-07 09:00:00,82.0,18.64,81.6,5280000.0,133000000.0,14246,31.9,22.9,2045.9,7.1
23080,1,0,14616,2023-09-05 08:30:00,2023-09-07 08:30:00,80.8,18.8,82.4,5330000.0,126000000.0,17825,31.4,22.7,1758.2,7.8
23081,1,0,14615,2023-09-13 07:15:00,2023-09-15 10:00:00,82.8,18.24,50.8,5410000.0,99200000.0,17825,28.2,15.4,1262.9,3.4
23082,1,0,14616,2023-09-13 07:15:00,2023-09-15 13:00:00,82.0,16.32,74.24,3590000.0,95500000.0,14246,29.4,23.0,1821.0,6.2
23083,1,0,14617,2023-09-12 08:00:00,2023-09-14 08:25:00,82.8,16.96,53.84,7300000.0,103000000.0,17825,137.6,157.0,1640.6,5.5
23084,1,0,13169,2023-09-12 08:00:00,2023-09-14 10:00:00,81.6,17.44,79.44,5870000.0,115000000.0,14246,151.2,151.4,2133.0,7.8
23085,1,0,13170,2023-09-25 08:15:00,2023-09-27 09:45:00,84.0,16.32,63.76,5660000.0,132000000.0,14246,26.6,17.5,1662.9,4.5
23086,1,0,14614,2023-09-25 08:15:00,2023-09-27 10:20:00,83.2,16.16,67.2,5310000.0,123000000.0,17825,32.2,21.9,1533.0,4.2
23087,1,0,14617,2023-09-26 09:30:00,2023-09-28 10:30:00,81.2,18.32,73.28,6350000.0,154000000.0,14246,36.6,43.9,1096.6,4.6
23088,1,0,14616,2023-09-26 09:30:00,2023-09-28 11:15:00,80.8,18.96,76.96,5310000.0,86400000.0,17825,32.3,21.8,2150.6,6.1
23089,1,0,13169,2023-10-02 08:30:00,2023-10-04 08:30:00,82.4,18.32,64.08,3790000.0,62600000.0,17825,30.2,17.4,1710.4,5.4
23090,1,0,14614,2023-10-02 08:30:00,2023-10-04 10:00:00,81.6,17.68,63.44,3550000.0,122000000.0,12912,27.3,13.7,1265.0,5.4
23091,1,0,14615,2023-10-03 08:30:00,2023-10-05 09:30:00,82.0,14.56,65.12,4890000.0,126000000.0,14246,25.0,26.5,1491.5,5.5
23092,1,0,14616,2023-10-03 08:30:00,2023-10-05 10:45:00,82.0,18.56,75.12,4400000.0,148000000.0,17825,32.1,27.4,1439.8,8.2
23093,2,23085,13170,2023-09-27 13:00:00,2023-09-29 13:00:00,80.0,21.84,74.32,5890000.0,109000000.0,14246,30.1,18.4,1792.1,6.4
23094,1,0,14614,2023-10-09 13:15:00,2023-10-11 13:00:00,81.2,18.08,46.4,3190000.0,88800000.0,17825,21.2,10.2,1373.3,4.8
23095,1,0,13169,2023-10-09 13:15:00,2023-10-11 13:00:00,81.2,13.36,50.24,3250000.0,119000000.0,12912,22.1,10.5,988.1,5.4
23096,1,0,14617,2023-10-17 09:00:00,2023-10-19 11:30:00,80.8,15.12,64.64,5460000.0,117000000.0,14246,25.8,18.7,1446.7,5.8
23097,1,0,14616,2023-10-17 09:00:00,2023-10-19 09:30:00,81.6,18.72,70.48,4620000.0,138000000.0,12912,28.7,20.7,1831.8,5.8
23098,1,0,14615,2023-10-17 09:00:00,2023-10-19 09:30:00,80.8,16.56,83.2,5160000.0,114000000.0,17825,30.2,15.6,1470.2,7.4
23099,1,0,13169,2023-10-23 10:00:00,2023-10-25 09:00:00,82.4,21.76,78.8,4410000.0,219000000.0,12912,33.6,22.3,1310.3,5.9
23100,1,0,14614,2023-10-23 10:00:00,2023-10-25 10:00:00,82.0,22.0,70.32,3890000.0,173000000.0,17825,33.6,18.1,1268.1,5.0
23101,1,0,14615,2023-10-24 07:00:00,2023-10-26 08:30:00,80.4,17.84,71.36,4770000.0,205000000.0,14246,28.1,19.9,1332.3,7.4
23102,1,0,14616,2023-10-24 07:00:00,2023-10-26 08:00:00,81.2,19.36,79.36,5150000.0,200000000.0,17825,31.5,19.4,1236.7,6.2
23103,1,0,14616,2023-10-31 10:00:00,2023-11-02 09:45:00,80.4,17.04,81.6,3890000.0,179000000.0,14246,30.6,27.1,1669.0,6.2
23104,1,0,14615,2023-10-31 09:15:00,2023-11-02 09:45:00,80.0,16.4,84.8,6080000.0,147000000.0,12912,29.5,23.7,2113.0,7.0
23105,1,0,14614,2023-10-31 10:00:00,2023-11-02 10:00:00,82.4,14.88,87.2,3580000.0,184000000.0,17825,31.4,27.8,1855.4,8.6
23106,2,23099,13169,2023-10-25 12:30:00,2023-10-27 09:30:00,0.0,20.8,71.84,816000.0,213000000.0,14246,27.8,25.5,1351.6,6.7
23107,2,23100,14614,2023-10-25 13:30:00,2023-10-27 11:30:00,0.0,23.2,75.36,8390000.0,169000000.0,17825,30.8,22.2,1965.9,7.8
23108,1,0,13170,2023-11-06 09:00:00,2023-11-08 09:20:00,83.2,19.44,75.52,6010000.0,222000000.0,12912,32.0,20.6,1784.7,5.3
23109,1,0,14616,2023-11-06 09:00:00,2023-11-08 08:20:00,83.2,18.48,71.68,6610000.0,196000000.0,14246,33.4,27.8,969.9,3.8
23110,1,0,14614,2023-11-07 11:30:00,2023-11-09 10:00:00,81.6,17.68,84.0,6040000.0,177000000.0,17825,30.3,22.4,1957.1,6.7
23111,1,0,14615,2023-11-07 11:30:00,2023-11-09 09:30:00,81.6,17.6,79.36,5620000.0,172000000.0,12912,27.2,24.1,1924.0,6.6
23112,1,0,14615,2023-11-13 08:50:00,2023-11-15 08:25:00,81.6,18.0,76.16,5890000.0,184000000.0,17825,30.5,16.2,1707.6,5.3
23113,1,0,14616,2023-11-13 08:50:00,2023-11-15 09:20:00,81.6,17.6,83.2,5920000.0,243000000.0,12912,28.3,19.0,1704.3,6.4
23114,1,0,14614,2023-11-14 07:00:00,2023-11-16 07:55:00,81.6,15.28,77.84,6700000.0,214000000.0,12912,26.7,49.3,1325.3,4.9
23115,2,23108,13170,2023-11-08 13:00:00,2023-11-10 10:00:00,80.0,20.56,78.56,17800000.0,186000000.0,12912,29.6,24.2,1655.4,8.0
23116,2,23109,14616,2023-11-08 12:00:00,2023-11-10 09:00:00,80.0,20.16,79.44,1150000.0,229000000.0,17825,29.7,24.3,1673.5,7.8
23117,1,0,13169,2023-11-14 07:00:00,2023-11-16 07:50:00,82.0,17.12,88.8,5710000.0,202000000.0,14246,32.8,27.8,1935.3,8.7
23118,1,0,13169,2023-11-20 08:20:00,2023-11-22 08:40:00,83.2,16.64,75.92,6500000.0,247000000.0,14246,29.8,52.6,1198.2,4.8
23119,1,0,13170,2023-11-20 08:20:00,2023-11-22 08:00:00,82.4,19.52,74.48,6600000.0,185000000.0,12912,32.2,16.9,2059.8,5.3
23120,1,0,14614,2023-11-21 07:40:00,2023-11-23 08:20:00,80.0,19.36,85.6,5650000.0,168000000.0,17825,32.5,21.4,2338.6,5.4
23121,1,0,14615,2023-11-21 07:40:00,2023-11-23 08:15:00,80.0,12.56,83.2,8270000.0,224000000.0,14246,27.7,44.2,1673.0,7.5
23122,2,23112,14615,2023-11-15 12:15:00,2023-11-17 09:25:00,80.0,19.44,82.4,9120000.0,206000000.0,17825,30.8,23.8,1978.2,8.5
23123,2,23113,14616,2023-11-15 12:55:00,2023-11-17 09:15:00,80.0,17.44,82.4,10100000.0,192000000.0,12912,26.0,22.7,2117.8,8.4
23124,1,0,14615,2023-11-27 07:30:00,2023-11-29 08:41:00,83.2,17.6,74.48,5510000.0,201000000.0,14246,28.6,29.5,1517.9,4.5
23125,1,0,14616,2023-11-27 07:30:00,2023-11-29 08:45:00,84.0,19.52,77.44,5200000.0,176000000.0,17825,32.1,20.3,1688.1,4.8
23126,1,0,13170,2023-11-28 07:00:00,2023-11-30 07:50:00,80.8,15.28,79.92,8060000.0,168000000.0,17825,32.2,34.4,2395.4,7.6
23127,1,0,14614,2023-11-28 07:00:00,2023-11-30 07:55:00,80.4,14.48,77.44,9390000.0,253000000.0,12912,29.0,30.0,2155.8,7.0
23129,2,23119,13170,2023-11-22 11:45:00,2023-11-24 08:30:00,80.0,30.32,75.52,64800000.0,179000000.0,12912,30.9,20.7,1903.0,6.2
23130,2,23118,13169,2023-11-22 13:00:00,2023-11-24 08:45:00,80.0,30.32,75.04,64800000.0,170000000.0,14246,31.3,38.6,1116.6,5.2
23131,1,0,13169,2023-12-04 07:00:00,2023-12-06 07:40:00,83.2,18.16,76.72,7970000.0,189000000.0,17825,32.6,17.5,1778.2,6.9
23132,1,0,13170,2023-12-04 07:00:00,2023-12-06 07:40:00,88.0,17.84,86.4,6370000.0,200000000.0,12912,31.7,21.4,2107.7,5.8
23133,1,0,14614,2023-12-04 07:00:00,2023-12-06 07:45:00,85.2,15.76,79.28,6170000.0,209000000.0,14246,27.8,36.1,1899.6,7.0
23134,2,23124,14615,2023-11-29 12:35:00,2023-12-01 09:45:00,80.0,19.04,77.92,12200000.0,193000000.0,14246,28.9,37.1,1517.9,5.8
23135,2,23125,14616,2023-11-29 12:55:00,2023-12-01 10:00:00,80.0,19.92,80.8,7500000.0,175000000.0,17825,32.0,8.2,1937.7,6.7
23136,1,0,13170,2023-12-18 08:40:00,2023-12-20 08:30:00,83.2,16.48,71.12,6430000.0,210000000.0,12912,27.5,17.6,1460.4,5.0
23137,1,0,14614,2023-12-18 13:55:00,2023-12-20 10:15:00,81.6,16.16,57.76,11200000.0,280000000.0,14246,26.9,20.1,526.4,4.2
23138,1,0,14615,2023-12-19 06:50:00,2023-12-21 10:20:00,80.0,16.16,71.68,3540000.0,169000000.0,12912,26.1,19.8,1468.9,4.9
23139,1,0,14616,2023-12-19 13:15:00,2023-12-21 09:30:00,80.0,15.92,75.92,3580000.0,173000000.0,17825,27.0,19.9,1468.9,6.2
24004,1,0,14615,2024-01-16 11:30:00,2024-01-18 09:15:00,84.0,18.32,76.88,3770000.0,153000000.0,14246,28.8,19.4,1385.6,4.2
24003,1,0,14614,2024-01-17 09:05:00,2024-01-19 08:40:00,82.4,15.52,77.2,3980000.0,209000000.0,17825,33.0,28.3,1275.8,4.2
24005,1,0,14616,2024-01-20 08:15:00,2024-01-22 08:00:00,82.4,16.64,87.2,4610000.0,194000000.0,17825,29.4,22.7,1419.7,4.9
24007,1,0,14617,2024-01-20 08:25:00,2024-01-22 08:00:00,80.0,16.08,88.8,3640000.0,181000000.0,12912,28.5,23.4,1640.4,6.2
24008,1,0,14615,2024-01-20 08:25:00,2024-01-22 08:00:00,82.4,17.12,84.8,3510000.0,172000000.0,14246,29.8,21.0,1575.4,5.4
24011,1,0,13189,2024-01-22 08:00:00,2024-01-24 08:20:00,80.0,18.32,74.08,26500000.0,177000000.0,12912,27.9,26.9,1571.3,6.6
24016,2,0,14616,2024-01-22 11:20:00,2024-01-24 09:00:00,80.0,21.44,93.6,8770000.0,211000000.0,17825,34.5,34.0,1671.8,8.2
24017,2,0,14617,2024-01-22 11:00:00,2024-01-24 08:15:00,80.0,19.84,84.8,13100000.0,170000000.0,14246,29.0,23.4,1807.0,8.0
24009,1,0,14614,2024-01-23 06:45:00,2024-01-25 08:30:00,80.0,15.12,75.84,5130000.0,155000000.0,14246,27.6,19.3,1479.5,7.5
24012,1,0,13170,2024-01-23 06:45:00,2024-01-25 08:15:00,80.0,17.52,88.0,4010000.0,130000000.0,12912,31.9,24.1,1807.5,7.6
24010,1,0,13169,2024-01-27 07:10:00,2024-01-29 08:30:00,80.0,19.52,84.0,2590000.0,149000000.0,17825,33.6,27.4,1297.0,8.0
24020,1,0,13170,2024-01-27 07:10:00,2024-01-29 08:15:00,80.0,18.0,84.8,2300000.0,139000000.0,12912,29.8,20.2,2004.0,7.9
24022,2,24010,13169,2024-01-29 12:30:00,2024-01-31 08:30:00,80.0,18.8,84.0,8450000.0,156000000.0,17825,31.2,23.8,1816.2,9.2
24023,2,24020,13170,2024-01-29 11:15:00,2024-01-31 08:00:00,80.0,18.32,84.0,11800000.0,159000000.0,12912,28.2,24.2,1816.2,9.0
24019,1,0,14617,2024-02-03 07:00:00,2024-02-05 08:15:00,80.0,16.64,75.04,1680000.0,182000000.0,17825,29.9,18.6,1574.7,5.7
24021,1,0,13169,2024-02-03 07:00:00,2024-02-05 09:15:00,80.0,15.6,71.6,1360000.0,164000000.0,12912,28.0,14.5,1493.8,6.6
24025,2,24021,13169,2024-02-05 12:25:00,2024-02-07 10:00:00,80.0,20.24,80.8,7790000.0,150000000.0,12912,30.3,20.0,1750.5,7.0
24014,1,0,14615,2024-02-10 07:20:00,2024-02-12 10:15:00,83.6,14.56,70.0,861000.0,154000000.0,12912,26.6,17.8,1590.7,5.0
24015,3,0,14616,2024-02-07 10:30:00,2024-02-09 09:10:00,80.0,20.8,73.76,15800000.0,164000000.0,12912,33.5,20.7,1621.4,4.5
24027,1,0,13170,2024-02-10 07:20:00,2024-02-12 10:55:00,83.6,18.72,72.88,872000.0,157000000.0,14246,31.2,16.3,1663.2,5.1
24028,2,24027,13170,2024-02-12 14:45:00,2024-02-14 11:45:00,80.0,19.68,80.8,8560000.0,164000000.0,14246,29.9,27.7,1935.3,8.1
24031,1,0,13169,2024-02-17 08:00:00,2024-02-19 07:45:00,80.0,14.8,78.88,2460000.0,196000000.0,14246,29.4,26.3,1812.5,6.9
24037,2,24031,13169,2024-02-19 11:20:00,2024-02-21 07:00:00,80.0,17.92,92.8,8330000.0,191000000.0,14246,28.1,23.0,1584.2,6.9
24038,3,24037,13169,2024-02-21 10:55:00,2024-02-23 07:15:00,80.0,19.6,84.0,8110000.0,217000000.0,14246,29.6,28.6,1324.6,6.2
24035,1,0,14614,2024-03-02 07:30:00,2024-03-04 09:00:00,80.0,16.72,61.44,3940000.0,146000000.0,12912,28.2,12.1,970.8,3.0
24036,1,0,14617,2024-03-02 07:30:00,2024-03-04 09:00:00,80.0,14.4,61.2,5400000.0,149000000.0,14246,24.1,12.8,1194.5,4.1
24040,2,24036,14617,2024-03-04 13:00:00,2024-03-06 12:00:00,80.0,44.4,74.24,41600000.0,94900000.0,14246,31.4,20.8,1218.3,5.3
24041,1,0,13169,2024-03-09 08:10:00,2024-03-11 09:20:00,80.0,18.64,77.6,6740000.0,145000000.0,12912,31.2,19.8,1101.0,4.7
24042,1,0,14615,2024-03-09 08:10:00,2024-03-11 09:10:00,80.0,19.04,68.4,7500000.0,158000000.0,14246,30.1,15.0,1151.4,4.3
24046,2,24041,13169,2024-03-11 13:10:00,2024-03-13 10:50:00,80.0,19.92,88.0,8590000.0,157000000.0,12912,33.7,28.7,1783.8,7.8
24043,1,0,14614,2024-03-12 07:25:00,2024-03-14 08:25:00,80.0,19.44,69.68,4640000.0,133000000.0,14246,29.2,15.4,1254.6,4.7
24045,1,0,14616,2024-03-12 07:25:00,2024-03-14 09:15:00,80.0,17.52,72.48,5050000.0,139000000.0,12912,28.0,19.0,1573.5,5.8
24044,1,0,13170,2024-03-16 09:20:00,2024-03-18 08:01:00,83.6,19.28,77.52,5100000.0,161000000.0,14246,30.56,20.32,1528.7,5.4
24047,2,24044,13170,2024-03-18 13:00:00,2024-03-20 07:00:00,80.0,18.24,86.4,9250000.0,223000000.0,14246,28.16,26.48,1794.3,6.6
24049,1,0,14617,2024-03-16 09:22:00,2024-03-18 08:23:00,84.0,18.88,72.64,5650000.0,165000000.0,12912,29.2,16.72,1342.8,4.9
24050,1,0,14614,2024-03-23 08:57:00,2024-03-25 08:28:00,84.0,17.76,67.6,5560000.0,153000000.0,6379,29.44,26.56,1422.8,3.7
24051,1,0,13169,2024-03-23 08:57:00,2024-03-25 08:33:00,84.0,17.76,80.8,5160000.0,158000000.0,12912,36.64,18.56,1486.6,5.5
24052,2,24050,14614,2024-03-25 13:28:00,2024-03-27 08:51:00,86.0,17.28,69.04,8510000.0,148000000.0,14246,26.24,18.16,1857.3,6.0
24053,2,24051,13169,2024-03-25 12:27:00,2024-03-27 08:27:00,87.0,16.72,79.36,13900000.0,148000000.0,12912,26.56,20.4,1784.1,7.2
