LOTE,Fecha/hora inicio,Fecha/hora fin,PH linea 1,PH  Linea 2,PH linea 3,Turbidez linea 1,Turbidez linea 2,Turbidez linea 3,PH menor 1,PH menor 2
23080,2023-09-03 05:00:00,2023-09-03 05:00:00,5.312,5.424,5.456,50.64,27.68,41.04,5.312,5.424
23081,2023-09-10 05:00:00,2023-09-10 05:00:00,5.496,,5.504,28.4,,28.0,5.496,5.504
23082,2023-09-10 05:00:00,2023-09-10 05:00:00,5.496,,5.504,28.4,,28.0,5.496,5.504
23083,2023-09-11 05:00:00,2023-09-11 05:00:00,5.424,,5.448,29.2,,30.48,5.424,5.448
23084,2023-09-11 05:00:00,2023-09-11 05:00:00,5.424,,5.448,29.2,,30.48,5.424,5.448
23085,2023-09-23 05:00:00,2023-09-23 05:00:00,5.496,5.464,5.208,30.8,30.32,28.48,5.208,5.464
23086,2023-09-23 05:00:00,2023-09-23 05:00:00,5.496,5.464,5.208,30.8,30.32,28.48,5.208,5.464
23087,2023-09-24 05:00:00,2023-09-24 05:00:00,5.48,5.456,5.496,29.68,31.84,30.4,5.456,5.48
23088,2023-09-24 05:00:00,2023-09-24 05:00:00,5.48,5.456,5.496,29.68,31.84,30.4,5.456,5.48
23089,2023-09-30 00:30:00,2023-09-30 00:30:00,5.36,5.392,5.416,37.12,49.44,32.88,5.36,5.392
23090,2023-09-30 00:30:00,2023-09-30 00:30:00,5.36,5.392,5.416,37.12,49.44,32.88,5.36,5.392
23091,2023-10-01 00:30:00,2023-10-01 00:30:00,5.512,5.472,5.52,37.76,32.72,34.56,5.472,5.512
23092,2023-10-01 00:30:00,2023-10-01 00:30:00,5.512,5.472,5.52,37.76,32.72,34.56,5.472,5.512
23094,2023-10-07 00:30:00,2023-10-07 00:30:00,5.392,5.408,5.408,34.48,33.76,38.56,5.392,5.408
23095,2023-10-07 00:30:00,2023-10-07 00:30:00,5.392,5.408,5.408,34.48,33.76,38.56,5.392,5.408
23096,2023-10-15 00:30:00,2023-10-15 00:30:00,5.472,5.44,,31.92,32.4,,5.44,5.472
23097,2023-10-15 00:30:00,2023-10-15 00:30:00,5.352,,,34.08,,,,
23098,2023-10-15 00:30:00,2023-10-15 00:30:00,5.472,5.44,,31.92,32.4,,5.44,5.472
23099,2023-10-21 00:30:00,2023-10-21 00:30:00,5.512,5.52,5.576,31.04,29.2,26.72,5.512,5.52
23100,2023-10-21 00:30:00,2023-10-21 00:30:00,5.512,5.52,5.576,31.04,29.2,26.72,5.512,5.52
23101,2023-10-22 00:30:00,2023-10-22 00:30:00,5.384,5.464,5.488,31.84,31.04,32.88,5.384,5.464
23102,2023-10-22 00:30:00,2023-10-22 00:30:00,5.384,5.464,5.488,31.84,31.04,32.88,5.384,5.464
23103,2023-10-29 00:30:00,2023-10-29 00:30:00,5.296,5.36,5.368,33.12,32.08,34.56,5.296,5.36
23104,2023-10-29 00:30:00,2023-10-29 00:30:00,5.376,5.336,,32.16,36.08,,5.336,5.376
23105,2023-10-29 00:30:00,2023-10-29 00:30:00,5.296,5.36,5.368,33.12,32.08,34.56,5.296,5.36
23108,2023-11-04 00:30:00,2023-11-04 00:30:00,,5.416,5.4,,35.6,34.4,5.4,5.416
23109,2023-11-04 00:30:00,2023-11-04 00:30:00,,5.416,5.4,,35.6,34.4,5.4,5.416
23110,2023-11-05 00:30:00,2023-11-05 00:30:00,5.464,5.424,5.352,46.08,36.0,32.4,5.352,5.424
23111,2023-11-05 00:30:00,2023-11-05 00:30:00,5.464,5.424,5.352,46.08,36.0,32.4,5.352,5.424
23112,2023-11-11 00:30:00,2023-11-11 00:30:00,5.696,5.464,5.464,36.32,32.56,30.88,5.464,5.464
23113,2023-11-11 00:30:00,2023-11-11 00:30:00,5.696,5.464,5.464,36.32,32.56,30.88,5.464,5.464
23114,2023-11-12 00:30:00,2023-11-12 00:30:00,5.448,5.368,,26.64,29.2,,5.368,5.448
23117,2023-11-12 00:30:00,2023-11-12 00:30:00,5.448,5.368,,26.64,29.2,,5.368,5.448
23118,2023-11-18 00:30:00,2023-11-18 00:30:00,5.352,,5.368,39.92,,37.68,5.352,5.368
23119,2023-11-18 00:30:00,2023-11-18 00:30:00,5.352,,5.368,39.92,,37.68,5.352,5.368
23120,2023-11-19 00:30:00,2023-11-19 00:30:00,5.32,5.384,,32.16,31.44,,5.32,5.384
23121,2023-11-19 00:30:00,2023-11-19 00:30:00,5.232,5.408,,28.72,25.76,,5.232,5.408
23124,2023-11-25 00:30:00,2023-11-25 00:30:00,5.368,5.384,5.36,30.0,28.08,32.16,5.36,5.368
23125,2023-11-25 00:30:00,2023-11-25 00:30:00,5.368,5.384,5.36,30.0,28.08,32.16,5.36,5.368
23126,2023-11-26 00:30:00,2023-11-26 00:30:00,5.432,,5.384,29.2,,27.04,5.384,5.432
23127,2023-11-26 00:30:00,2023-11-26 00:30:00,5.432,,5.384,29.2,,27.04,5.384,5.432
23131,2023-12-02 00:30:00,2023-12-02 00:30:00,5.376,5.424,,35.12,35.52,,5.376,5.424
23132,2023-12-02 00:30:00,2023-12-02 00:30:00,5.44,5.488,,34.08,32.48,,5.44,5.488
23133,2023-12-02 00:30:00,2023-12-02 00:30:00,5.44,5.488,,34.08,32.48,,5.44,5.488
23136,2023-12-16 00:30:00,2023-12-16 00:30:00,5.52,,5.52,40.8,,35.68,5.52,5.52
23137,2023-12-16 00:30:00,2023-12-16 00:30:00,5.52,,5.52,40.8,,35.68,5.52,5.52
23138,2023-12-16 00:30:00,2023-12-16 00:30:00,5.416,5.448,5.464,32.24,30.0,38.48,5.416,5.448
23139,2023-12-16 00:30:00,2023-12-16 00:30:00,5.416,5.448,5.464,32.24,30.0,38.48,5.416,5.448
24004,2024-01-14 00:30:00,2024-01-14 00:30:00,5.44,5.52,5.52,31.2,28.88,25.84,5.44,5.52
24002,2024-01-15 00:30:00,2024-01-15 00:30:00,5.52,5.52,5.68,25.28,26.0,25.28,5.52,5.52
24003,2024-01-15 00:30:00,2024-01-15 00:30:00,5.52,5.52,5.68,25.28,26.0,25.28,5.52,5.52
24005,2024-01-18 00:30:00,2024-01-18 00:30:00,5.36,5.44,,28.96,26.48,,5.36,5.44
24007,2024-01-18 00:30:00,2024-01-18 00:30:00,5.36,5.36,5.36,40.4,34.4,27.28,5.36,5.36
24008,2024-01-18 00:30:00,2024-01-18 00:30:00,5.36,5.36,5.36,40.4,34.4,27.28,5.36,5.36
24009,2024-01-21 00:30:00,2024-01-21 00:30:00,5.48,5.552,5.608,25.68,27.04,28.0,5.48,5.552
24010,2024-01-25 00:30:00,2024-01-25 00:30:00,5.448,5.504,5.528,35.04,24.16,25.44,5.448,5.504
24012,2024-01-21 00:30:00,2024-01-21 00:30:00,5.48,5.552,5.608,25.68,27.04,28.0,5.48,5.552
24020,2024-01-25 00:30:00,2024-01-25 00:30:00,5.448,5.504,5.528,35.04,24.16,25.44,5.448,5.504
24019,2024-02-01 00:30:00,2024-02-01 00:30:00,5.52,5.36,,35.2,37.04,,5.36,5.52
24020,2024-01-25 00:30:00,2024-01-25 00:30:00,5.448,5.504,5.528,35.04,24.16,25.44,5.448,5.504
24021,2024-02-01 00:30:00,2024-02-01 00:30:00,5.28,5.44,,37.68,26.72,,5.28,5.44
24014,2024-02-08 00:30:00,2024-02-08 00:30:00,5.488,5.456,5.56,34.88,34.48,35.04,5.456,5.488
24027,2024-02-08 00:30:00,2024-02-08 00:30:00,5.488,5.456,5.56,34.88,34.48,35.04,5.456,5.488
24031,2024-02-15 00:30:00,2024-02-15 00:30:00,5.768,5.488,,24.48,32.96,,5.488,5.768
24035,2024-02-29 00:30:00,2024-02-29 00:30:00,5.44,5.448,5.512,26.88,31.12,28.8,5.44,5.448
24036,2024-02-29 00:30:00,2024-02-29 00:30:00,5.44,5.448,5.512,26.88,31.12,28.8,5.44,5.448
24041,2024-03-07 00:30:00,2024-03-07 00:30:00,5.56,5.456,5.496,23.2,27.6,26.96,5.456,5.496
24042,2024-03-07 00:30:00,2024-03-07 00:30:00,5.56,5.456,5.496,23.2,27.6,26.96,5.456,5.496
24043,2024-03-10 00:30:00,2024-03-10 00:30:00,5.512,5.624,5.552,26.08,25.2,28.24,5.512,5.552
24045,2024-03-10 00:30:00,2024-03-10 00:30:00,5.512,5.624,5.552,26.08,25.2,28.24,5.512,5.552
24044,2024-03-14 00:30:00,2024-03-14 00:30:00,5.424,5.408,5.48,24.4,27.92,24.48,5.408,5.424
24049,2024-03-14 00:30:00,2024-03-14 00:30:00,5.424,5.408,5.48,24.4,27.92,24.48,5.408,5.424
24050,2024-03-21 00:30:00,2024-03-21 00:30:00,5.496,5.488,5.376,34.0,27.84,35.12,5.376,5.488
24051,2024-03-21 00:30:00,2024-03-21 00:30:00,5.496,5.488,5.376,34.0,27.84,35.12,5.376,5.488
24055,2024-04-11 00:30:00,2024-04-11 00:30:00,5.368,5.416,5.464,26.16,25.52,25.04,5.368,5.416
24056,2024-04-11 00:30:00,2024-04-11 00:30:00,5.368,5.416,5.464,26.16,25.52,25.04,5.368,5.416
24054,2024-04-14 00:30:00,2024-04-14 00:30:00,5.504,5.376,5.376,27.12,25.68,29.52,5.376,5.376
24057,2024-04-14 00:30:00,2024-04-14 00:30:00,5.504,5.376,5.376,27.12,25.68,29.52,5.376,5.376
24060,2024-04-18 00:30:00,2024-04-18 00:30:00,5.384,5.344,5.448,25.44,26.0,24.72,5.344,5.384
24061,2024-04-18 00:30:00,2024-04-18 00:30:00,5.384,5.344,5.448,25.44,26.0,24.72,5.344,5.384
24063,2024-04-21 00:30:00,2024-04-21 00:30:00,5.36,5.376,,25.84,27.84,,5.36,5.376
24064,2024-04-21 00:30:00,2024-04-21 00:30:00,5.36,5.376,,25.84,27.84,,5.36,5.376
24067,2024-04-25 00:30:00,2024-04-25 00:30:00,5.568,5.56,5.52,20.96,22.48,22.4,5.52,5.56
24070,2024-04-25 00:30:00,2024-04-25 00:30:00,5.568,5.56,5.52,20.96,22.48,22.4,5.52,5.56
24071,2024-04-28 00:30:00,2024-04-28 00:30:00,6.28,5.488,,27.36,24.88,,5.488,6.28
24072,2024-05-12 00:30:00,2024-05-12 00:30:00,5.424,5.424,,25.36,30.96,,5.424,5.424
24073,2024-05-12 00:30:00,2024-05-12 00:30:00,5.44,5.384,5.456,25.12,26.96,27.84,5.384,5.44
24074,2024-05-16 00:30:00,2024-05-16 00:30:00,5.408,5.408,5.384,27.36,28.08,24.32,5.384,5.408
24075,2024-05-12 00:30:00,2024-05-12 00:30:00,5.424,5.424,,25.12,26.96,27.84,5.424,5.424
24076,2024-05-16 00:30:00,2024-05-16 00:30:00,5.408,5.408,5.384,27.36,28.08,24.32,5.384,5.408
24077,2024-05-19 00:30:00,2024-05-19 00:30:00,5.4,5.384,5.4,30.96,27.76,26.24,5.384,5.4
24078,2024-05-19 00:30:00,2024-05-19 00:30:00,5.4,5.384,5.4,30.96,27.76,26.24,5.384,5.4
24081,2024-05-26 00:30:00,2024-05-26 00:30:00,5.44,5.504,5.496,29.68,31.2,28.96,5.44,5.496
24083,2024-05-23 00:30:00,2024-05-23 00:30:00,5.384,5.4,5.4,25.84,30.24,29.68,5.384,5.4
24084,2024-05-23 00:30:00,2024-05-23 00:30:00,5.384,5.4,5.4,25.84,30.24,29.68,5.384,5.4
24085,2024-05-26 00:30:00,2024-05-26 00:30:00,5.44,5.504,5.496,29.68,31.2,28.96,5.44,5.496
24088,2024-05-30 00:30:00,2024-05-30 00:30:00,5.472,5.616,5.48,30.56,31.2,29.68,5.472,5.48
24089,2024-05-30 00:30:00,2024-05-30 00:30:00,5.472,5.616,5.48,30.56,31.2,29.68,5.472,5.48
24091,2024-06-02 00:30:00,2024-06-02 00:30:00,5.392,5.424,5.472,33.44,32.16,29.36,5.392,5.424
24092,2024-06-02 00:30:00,2024-06-02 00:30:00,5.392,5.424,5.472,33.44,32.16,29.36,5.392,5.424
24095,2024-06-09 00:30:00,2024-06-09 00:30:00,5.456,5.44,5.432,32.08,31.28,28.72,5.432,5.44
24097,2024-06-09 00:30:00,2024-06-09 00:30:00,5.456,5.44,5.432,32.08,31.28,28.72,5.432,5.44
24098,2024-06-13 00:30:00,2024-06-13 00:30:00,5.672,5.608,5.608,23.04,22.56,20.96,5.608,5.608
24101,2024-06-27 00:30:00,2024-06-27 00:30:00,5.424,5.432,5.416,32.08,32.48,30.64,5.416,5.424
24103,2024-06-27 00:30:00,2024-06-27 00:30:00,5.424,5.432,5.416,32.08,32.48,30.64,5.416,5.424
24104,2024-06-30 00:30:00,2024-06-30 00:30:00,5.408,5.424,5.392,27.44,26.48,26.64,5.392,5.408
24105,2024-06-30 00:30:00,2024-06-30 00:30:00,5.408,5.424,5.392,27.44,26.48,26.64,5.392,5.408
24108,2024-07-04 00:30:00,2024-07-04 00:30:00,5.528,5.432,5.504,33.44,28.8,25.6,5.432,5.504
24111,2024-07-04 00:30:00,2024-07-04 00:30:00,5.528,5.432,5.504,33.44,28.8,25.6,5.432,5.504
