Lote;Fecha;Turbidez;Viabilidad;Glucosa g/L;;;;;;
23033;26/04/2023 15:00;34,32;8,80E+07;1,91;;;;;;
23033;26/04/2023 19:00;42,08;1,18E+08;1,85;;;;;;
23033;27/04/2023 6:00;56,88;1,99E+08;1,35;;;;;;
23033;27/04/2023 8:00;57,84;2,01E+08;1,24;;;;;;
23033;27/04/2023 9:00;66,96;2,51E+08;1,03;;;;;;
23033;27/04/2023 11:45;69,52;2,44E+08;0,95;;;;;;
23033;27/04/2023 12:50;72,48;2,27E+08;0,86;;;;;;
23034;25/04/2023 13:00;16,32;5,52E+06;NaN;;;;;;
23034;25/04/2023 17:00;17,2;7,78E+06;NaN;;;;;;
23034;25/04/2023 21:00;17,36;1,35E+07;NaN;;;;;;
23034;26/04/2023 7:00;21,12;4,21E+07;NaN;;;;;;
23034;26/04/2023 11:00;24,88;7,31E+07;2,02;;;;;;
23034;26/04/2023 15:00;29,68;9,95E+07;1,87;;;;;;
23034;26/04/2023 19:00;38,56;1,04E+08;1,84;;;;;;
23034;27/04/2023 6:00;56,96;1,92E+08;1,35;;;;;;
23034;27/04/2023 8:00;60,8;1,81E+08;1,25;;;;;;
23034;27/04/2023 9:00;62,48;1,87E+08;1,11;;;;;;
23034;27/04/2023 11:45;67,36;2,27E+08;1,11;;;;;;
23034;27/04/2023 12:50;69,12;1,97E+08;0,88;;;;;;
23035;25/04/2023 8:00;17,76;4,24E+06;NaN;;;;;;
23035;25/04/2023 12:00;17,76;6,23E+06;NaN;;;;;;
23035;25/04/2023 16:00;18,32;9,92E+06;NaN;;;;;;
23035;25/04/2023 20:00;18,8;2,19E+07;NaN;;;;;;
23035;26/04/2023 7:00;24,16;5,13E+07;NaN;;;;;;
23035;26/04/2023 11:00;29,12;9,23E+07;1,86;;;;;;
23035;26/04/2023 15:00;34,4;1,35E+08;2,02;;;;;;
23035;26/04/2023 19:00;42,88;1,36E+08;1,59;;;;;;
23035;27/04/2023 6:00;63,12;1,85E+08;1,23;;;;;;
23035;27/04/2023 8:00;66,4;1,77E+08;1,14;;;;;;
23035;27/04/2023 9:00;59,84;1,71E+08;0,63;;;;;;
23035;27/04/2023 9:40;59,76;1,91E+08;0,90;;;;;;
23036;22/05/2023 8:00;16,4;4,85E+06;2,09;;;;;;
23036;22/05/2023 12:00;16,72;8,45E+06;2,14;;;;;;
23036;22/05/2023 16:00;17,2;1,33E+07;2,31;;;;;;
23036;22/05/2023 20:00;18,8;1,31E+07;2,22;;;;;;
23036;23/05/2023 7:30;28,48;7,40E+07;1,96;;;;;;
23036;23/05/2023 11:30;34,24;1,12E+08;1,90;;;;;;
23036;23/05/2023 15:30;42,24;8,37E+07;1,73;;;;;;
23036;23/05/2023 20:00;50,16;1,09E+08;1,56;;;;;;
23036;24/05/2023 6:30;62,08;1,65E+08;1,02;;;;;;
23036;24/05/2023 7:45;62,88;1,89E+08;0,93;;;;;;
23036;24/05/2023 9:00;65,28;1,69E+08;0,90;;;;;;
23036;24/05/2023 11:00;65,92;1,42E+08;0,68;;;;;;
23037;22/05/2023 8:00;17,44;5,15E+06;2,30;;;;;;
23037;22/05/2023 12:00;18,24;8,96E+06;2,37;;;;;;
23037;22/05/2023 16:00;19,52;9,81E+06;2,06;;;;;;
23037;22/05/2023 20:00;19,68;2,28E+07;2,25;;;;;;
23037;23/05/2023 7:30;28,88;7,62E+07;2,24;;;;;;
23037;23/05/2023 11:30;34,08;9,89E+07;2,18;;;;;;
23037;23/05/2023 15:30;39,6;7,66E+07;1,81;;;;;;
23037;23/05/2023 20:00;47,44;1,02E+08;1,72;;;;;;
23037;24/05/2023 6:30;59,68;1,59E+08;1,19;;;;;;
23037;24/05/2023 7:45;59,12;1,54E+08;0,90;;;;;;
23037;24/05/2023 9:00;60,4;7,87E+07;1,12;;;;;;
23037;24/05/2023 9:45;64,24;1,71E+08;1,08;;;;;;
23037;24/05/2023 11:00;63,36;1,44E+08;0,92;;;;;;
23038;23/05/2023 8:00;15,28;7,73E+06;0,53;;;;;;
23038;23/05/2023 12:30;15,52;1,19E+07;0,54;;;;;;
23038;23/05/2023 14:40;NA;NA;0,47;;;;;;
23038;23/05/2023 15:40;16,96;1,54E+07;1,14;;;;;;
23038;23/05/2023 20:00;18,88;2,36E+07;1,59;;;;;;
23038;24/05/2023 7:00;26,88;8,48E+07;1,25;;;;;;
23038;24/05/2023 11:00;34,96;1,17E+08;1,27;;;;;;
23038;24/05/2023 15:00;41,04;9,71E+07;1,18;;;;;;
23038;24/05/2023 19:00;45,2;1,51E+08;0,97;;;;;;
23038;25/05/2023 6:30;58,64;1,58E+08;0,32;;;;;;
23038;25/05/2023 8:00;64,56;1,74E+08;0,62;;;;;;
23038;25/05/2023 9:00;63,92;1,65E+08;0,55;;;;;;
23038;25/05/2023 10:00;65,6;1,72E+08;1,14;;;;;;
23038;25/05/2023 12:30;67,92;1,45E+08;0,87;;;;;;
23039;23/05/2023 8:00;17,84;7,82E+06;2,18;;;;;;
23039;23/05/2023 12:30;17,92;1,03E+07;2,22;;;;;;
23039;23/05/2023 15:40;19,36;1,37E+07;2,35;;;;;;
23039;23/05/2023 20:00;21,2;2,04E+07;2,13;;;;;;
23039;24/05/2023 7:00;29,44;7,79E+07;2,06;;;;;;
23039;24/05/2023 11:00;33,12;1,07E+08;1,72;;;;;;
23039;24/05/2023 15:00;40,96;6,82E+07;1,86;;;;;;
23039;24/05/2023 19:00;46,72;1,11E+08;1,71;;;;;;
23039;25/05/2023 6:30;62,88;1,55E+08;1,19;;;;;;
23039;25/05/2023 8:00;63,12;1,43E+08;0,94;;;;;;
23039;25/05/2023 9:00;62,72;1,49E+08;0,89;;;;;;
23039;25/05/2023 10:00;62,56;1,47E+08;0,98;;;;;;
23039;25/05/2023 12:30;67,2;1,23E+08;0,81;;;;;;
P23213;24/05/2023 15:00;19,6;6,91E+07;2,06;;;;;;
P23213;24/05/2023 19:00;19,92;1,47E+07;2,10;;;;;;
P23213;25/05/2023 6:30;24,8;3,59E+07;1,99;;;;;;
P23213;25/05/2023 12:30;34,24;6,05E+07;1,78;;;;;;
P23213;25/05/2023 16:30;40,64;7,06E+07;1,75;;;;;;
P23213;25/05/2023 20:30;51,28;9,73E+07;1,72;;;;;;
P23213;26/05/2023 6:45;72,24;1,61E+08;0,88;;;;;;
P23213;26/05/2023 7:45;74,4;1,69E+08;0,88;;;;;;
P23213;26/05/2023 10:00;75,44;1,85E+08;0,76;;;;;;
P23213;26/05/2023 11:30;77,44;1,91E+08;0,55;;;;;;
P23213;26/05/2023 13:00;80;1,88E+08;0,47;;;;;;
P23213;26/05/2023 15:00;81,6;1,85E+08;0,36;;;;;;
23040;29/05/2023 7:45;13,92;4,30E+06;1,25;;;;;;
23040;29/05/2023 11:30;13,92;7,57E+06;1,38;;;;;;
23040;29/05/2023 16:00;14,88;1,47E+07;1,44;;;;;;
23040;29/05/2023 20:00;15,68;1,93E+07;1,51;;;;;;
23040;30/05/2023 6:30;24,48;1,07E+08;1,38;;;;;;
23040;30/05/2023 10:30;29,28;1,66E+08;1,42;;;;;;
23040;30/05/2023 11:45;32,32;1,55E+08;1,34;;;;;;
23041;30/05/2023 8:00;15,6;6,85E+06;1,66;;;;;;
23041;30/05/2023 12:00;16,08;1,15E+07;1,65;;;;;;
23041;30/05/2023 16:00;16,88;1,70E+07;1,66;;;;;;
23041;30/05/2023 20:00;18,24;2,39E+07;1,68;;;;;;
23041;31/05/2023 7:20;30,08;9,15E+07;1,65;;;;;;
23041;31/05/2023 11:20;37,84;1,11E+08;1,42;;;;;;
23041;31/05/2023 16:00;48,96;1,50E+08;1,24;;;;;;
23041;31/05/2023 20:00;59,52;1,67E+08;1,08;;;;;;
23041;01/06/2023 6:15;79,36;1,65E+08;0,23;;;;;;
23041;01/06/2023 7:15;79,28;1,97E+08;0,18;;;;;;
23041;01/06/2023 10:00;76,8;2,60E+08;0,00;;;;;;
23042;31/05/2023 7:20;15,28;5,86E+06;2,30;;;;;;
23042;31/05/2023 11:20;15,68;8,48E+06;1,92;;;;;;
23042;31/05/2023 16:00;17,28;1,50E+07;2,24;;;;;;
23042;31/05/2023 20:00;18,72;2,22E+07;2,28;;;;;;
23042;01/06/2023 6:15;28,88;6,57E+07;1,88;;;;;;
23042;01/06/2023 11:30;36,48;1,07E+08;1,82;;;;;;
23042;01/06/2023 16:00;46,72;1,34E+08;1,54;;;;;;
23042;01/06/2023 20:00;57,28;1,32E+08;1,42;;;;;;
23042;02/06/2023 6:30;67,12;2,14E+08;0,75;;;;;;
23042;02/06/2023 7:50;65,12;2,23E+08;0,70;;;;;;
23042;02/06/2023 9:00;64,32;2,15E+08;0,69;;;;;;
23042;02/06/2023 11:00;68,96;2,10E+08;0,51;;;;;;
23044;06/06/2023 13:00;14,88;2,78E+06;2,11;;;;;;
23044;06/06/2023 13:00;15,36;5,20E+06;1,94;;;;;;
23044;06/06/2023 17:00;15,44;5,66E+06;1,96;;;;;;
23044;06/06/2023 21:00;16,08;9,49E+06;1,89;;;;;;
23044;07/06/2023 6:15;18,56;2,42E+07;1,98;;;;;;
23044;07/06/2023 10:45;20,64;3,25E+07;2,10;;;;;;
23044;07/06/2023 15:00;24,48;4,79E+07;1,74;;;;;;
23044;07/06/2023 20:15;31,2;9,01E+07;1,72;;;;;;
23044;08/06/2023 6:30;42,4;1,34E+08;1,42;;;;;;
23044;08/06/2023 8:30;45,36;1,47E+08;1,54;;;;;;
23044;08/06/2023 11:00;50,4;1,51E+08;1,34;;;;;;
23044;08/06/2023 13:00;53,44;1,63E+08;1,36;;;;;;
23044;08/06/2023 13:40;53,84;1,56E+08;1,34;;;;;;
23044;08/06/2023 15:40;56,48;1,30E+08;1,15;;;;;;
23043;12/06/2023 8:00;16,24;4,33E+06;2,34;;;;;;
23043;12/06/2023 12:00;16,4;6,78E+06;2,33;;;;;;
23043;12/06/2023 16:30;17,92;1,13E+07;2,11;;;;;;
23043;12/06/2023 20:30;19,84;1,73E+07;2,02;;;;;;
23043;13/06/2023 7:30;30,48;5,11E+07;2,14;;;;;;
23043;13/06/2023 12:00;37,36;6,83E+07;1,97;;;;;;
23043;13/06/2023 16:00;44,32;7,85E+07;1,58;;;;;;
23043;13/06/2023 20:00;50,72;6,71E+07;1,39;;;;;;
23043;14/06/2023 6:30;57,2;1,77E+08;0,46;;;;;;
23043;14/06/2023 7:30;62,8;1,69E+08;1,04;;;;;;
23043;14/06/2023 8:30;64;1,78E+08;0,94;;;;;;
23043;14/06/2023 9:30;64,8;1,85E+08;0,91;;;;;;
23043;14/06/2023 10:30;64,96;1,88E+08;0,88;;;;;;
23045;12/06/2023 8:00;16,72;4,75E+06;2,14;;;;;;
23045;12/06/2023 12:00;18;7,51E+06;2,28;;;;;;
23045;12/06/2023 16:30;18,08;1,15E+07;2,02;;;;;;
23045;12/06/2023 20:30;20,64;2,03E+07;2,20;;;;;;
23045;13/06/2023 7:30;35,2;6,83E+07;2,02;;;;;;
23045;13/06/2023 12:00;46,32;9,57E+07;1,58;;;;;;
23045;13/06/2023 16:00;54,16;1,14E+08;1,68;;;;;;
23045;13/06/2023 20:00;62,24;1,44E+08;1,47;;;;;;
23045;14/06/2023 6:30;69,44;1,86E+08;0,70;;;;;;
23045;14/06/2023 7:30;70,16;1,74E+08;0,60;;;;;;
23045;14/06/2023 8:30;72,8;1,74E+08;0,55;;;;;;
23046;13/06/2023 8:00;14,08;4,39E+06;2,18;;;;;;
23046;13/06/2023 12:00;14,16;6,82E+06;2,16;;;;;;
23046;13/06/2023 16:00;15,2;1,07E+07;2,06;;;;;;
23046;13/06/2023 20:00;17,04;1,96E+07;1,85;;;;;;
23046;14/06/2023 6:30;28,8;6,92E+07;1,90;;;;;;
23046;14/06/2023 11:40;39,12;1,09E+08;1,95;;;;;;
23046;15/06/2023 6:00;71,6;1,88E+08;0,62;;;;;;
23046;15/06/2023 7:15;70,72;1,90E+08;0,62;;;;;;
23046;15/06/2023 8:15;69,12;2,03E+08;0,58;;;;;;
23046;15/06/2023 9:15;69,68;1,65E+08;0,48;;;;;;
23047;13/06/2023 8:00;18,72;4,31E+06;1,54;;;;;;
23047;13/06/2023 12:00;19,04;6,24E+06;1,91;;;;;;
23047;13/06/2023 16:00;19,6;1,08E+07;1,94;;;;;;
23047;13/06/2023 20:00;22,56;2,05E+07;2,18;;;;;;
23047;14/06/2023 6:30;31,36;6,18E+07;2,03;;;;;;
23047;14/06/2023 11:40;40,88;9,36E+07;1,96;;;;;;
23047;14/06/2023 15:40;50,96;1,08E+08;1,78;;;;;;
23047;14/06/2023 19:40;59,28;1,43E+08;1,52;;;;;;
23047;15/06/2023 6:00;70,56;1,73E+08;0,84;;;;;;
23047;15/06/2023 7:15;71,84;1,69E+08;0,82;;;;;;
23047;15/06/2023 8:15;72,08;1,62E+08;0,74;;;;;;
P23243;14/06/2023 10:40;15,92;1,94E+07;2,18;;;;;;
P23243;14/06/2023 15:00;16,32;2,06E+07;1,93;;;;;;
P23243;14/06/2023 19:00;17,76;2,17E+07;1,97;;;;;;
P23243;15/06/2023 6:15;29,2;6,40E+07;2,09;;;;;;
P23243;15/06/2023 11:00;37,6;9,76E+07;2,10;;;;;;
P23243;15/06/2023 15:00;47,6;1,17E+08;1,82;;;;;;
P23243;15/06/2023 19:00;55,12;1,39E+08;1,46;;;;;;
P23243;16/06/2023 7:00;67,52;2,03E+08;0,68;;;;;;
P23243;16/06/2023 8:00;69,2;2,02E+08;0,61;;;;;;
P23243;16/06/2023 9:00;70,32;2,00E+08;0,54;;;;;;
23048;20/06/2023 8:30;16;5,75E+06;1,82;;;;;;
23048;20/06/2023 12:30;16,4;8,29E+06;2,32;;;;;;
23048;20/06/2023 16:30;17,44;1,30E+07;2,02;;;;;;
23048;20/06/2023 20:30;19,2;1,91E+07;2,07;;;;;;
23048;21/06/2023 7:00;32,4;6,14E+07;1,69;;;;;;
23048;21/06/2023 12:15;41,6;8,99E+07;1,66;;;;;;
23048;21/06/2023 16:15;51,28;1,12E+08;1,42;;;;;;
23048;21/06/2023 20:15;57,6;1,13E+08;1,37;;;;;;
23048;22/06/2023 6:20;63,2;1,70E+08;0,75;;;;;;
23048;22/06/2023 7:20;63,6;1,85E+08;0,44;;;;;;
23048;22/06/2023 8:20;67,04;1,66E+08;0,58;;;;;;
23049;20/06/2023 8:30;14,96;6,40E+06;1,62;;;;;;
23049;20/06/2023 12:30;15,28;8,75E+06;1,96;;;;;;
23049;20/06/2023 16:30;16,4;1,33E+07;1,98;;;;;;
23049;20/06/2023 20:30;18,56;2,18E+07;2,14;;;;;;
23049;21/06/2023 7:00;30,56;5,39E+07;1,64;;;;;;
23049;21/06/2023 12:15;40,88;1,10E+08;1,69;;;;;;
23049;21/06/2023 16:15;51,28;1,12E+08;1,42;;;;;;
23049;21/06/2023 20:15;58,4;1,33E+08;1,42;;;;;;
23049;22/06/2023 6:20;68,64;1,61E+08;0,64;;;;;;
23049;22/06/2023 7:20;67,12;1,70E+08;0,59;;;;;;
23049;22/06/2023 8:20;68,8;1,63E+08;0,57;;;;;;
23050;21/06/2023 8:45;16,16;3,74E+06;1,87;;;;;;
23050;21/06/2023 12:30;16,72;6,13E+06;1,88;;;;;;
23050;21/06/2023 16:30;17,44;1,04E+07;2,14;;;;;;
23050;21/06/2023 20:30;18,8;2,31E+07;2,27;;;;;;
23050;22/06/2023 7:00;29,12;5,18E+07;1,92;;;;;;
23050;22/06/2023 11:00;36,8;5,35E+07;1,82;;;;;;
23050;22/06/2023 15:00;50,4;8,32E+07;1,71;;;;;;
23050;22/06/2023 19:00;57,76;9,44E+07;1,48;;;;;;
23050;23/06/2023 6:15;73,6;1,74E+08;0,80;;;;;;
23050;23/06/2023 7:30;75,28;1,30E+08;0,62;;;;;;
23050;23/06/2023 10:00;74,56;1,91E+08;0,58;;;;;;
23051;21/06/2023 8:45;14,8;3,55E+06;2,14;;;;;;
23051;21/06/2023 12:30;15,12;6,97E+06;2,23;;;;;;
23051;21/06/2023 16:30;16,48;1,19E+07;2,19;;;;;;
23051;21/06/2023 20:30;18,08;1,92E+07;2,09;;;;;;
23051;22/06/2023 7:00;28,4;6,46E+07;1,93;;;;;;
23051;22/06/2023 11:00;35,84;7,38E+07;1,81;;;;;;
23051;22/06/2023 15:00;46,8;1,00E+08;NaN;;;;;;
23051;22/06/2023 19:00;50,56;1,13E+08;1,58;;;;;;
23051;23/06/2023 6:15;51,76;1,95E+08;1,30;;;;;;
23051;23/06/2023 7:30;52,24;1,85E+08;1,16;;;;;;
23051;23/06/2023 8:30;50,56;2,15E+08;1,06;;;;;;
23051;23/06/2023 10:00;50;2,17E+08;1,18;;;;;;
23051;23/06/2023 10:40;49,76;2,11E+08;1,22;;;;;;
23051;23/06/2023 12:20;53,28;2,66E+08;0,98;;;;;;
23052;26/06/2023 8:00;16,48;2,91E+06;1,99;;;;;;
23052;26/06/2023 12:00;16,8;7,51E+06;2,01;;;;;;
23052;26/06/2023 16:00;17,84;1,20E+07;2,02;;;;;;
23052;26/06/2023 20:00;20,24;1,99E+07;1,78;;;;;;
23052;27/06/2023 7:15;35,6;6,75E+07;1,82;;;;;;
23052;27/06/2023 11:30;42,96;8,53E+07;1,82;;;;;;
